X, Y, T, Action
0.966252, -1.12497, 2.25661, GoAhead
0.947208, -1.10161, 2.25123, GoAhead
0.931922, -1.08267, 2.25142, GoAhead
0.91353, -1.05994, 2.25147, GoAhead
0.904338, -1.04858, 2.25146, GoAhead
0.889025, -1.02967, 2.25148, GoAhead
0.86758, -1.00318, 2.25148, GoAhead
0.861418, -0.995573, 2.25149, GoAhead
0.846107, -0.97667, 2.25151, GoAhead
0.833848, -0.961537, 2.25147, GoAhead
0.821583, -0.946391, 2.25144, GoAhead
0.803208, -0.923697, 2.25145, GoAhead
0.787866, -0.90476, 2.25138, GoAhead
0.769487, -0.882066, 2.25136, GoToPosition
0.760293, -0.870712, 2.25136, GoAhead
0.751114, -0.859372, 2.25136, GoToPosition
0.74191, -0.848018, 2.25136, GoAhead
0.732717, -0.836656, 2.25138, GoToPosition
0.723527, -0.825301, 2.2514, GoAhead
0.70515, -0.802593, 2.25138, GoToPosition
0.699032, -0.79504, 2.25139, GoAhead
0.6837, -0.77609, 2.25141, GoAhead
0.674501, -0.764722, 2.25142, GoToPosition
0.665332, -0.753408, 2.25143, GoAhead
0.659182, -0.745815, 2.25141, GoToPosition
0.649988, -0.734457, 2.25142, GoAhead
0.640803, -0.723117, 2.25144, GoToPosition
0.631596, -0.711751, 2.25145, GoAhead
0.62243, -0.700438, 2.25146, GoToPosition
0.613213, -0.689048, 2.25141, GoAhead
0.604023, -0.677693, 2.25142, GoToPosition
0.594832, -0.66634, 2.25139, GoAhead
0.585635, -0.654992, 2.25138, GoToPosition
0.576441, -0.643633, 2.25139, GoAhead
0.567241, -0.632278, 2.25138, GoToPosition
0.558056, -0.620934, 2.25138, GoAhead
0.542723, -0.601998, 2.25139, GoAhead
0.524328, -0.579289, 2.25138, GoAhead
0.50594, -0.556574, 2.25137, GoToPosition
0.499813, -0.549002, 2.25136, GoAhead
0.481433, -0.526301, 2.25138, GoAhead
0.463032, -0.503583, 2.25137, GoAhead
0.444635, -0.480869, 2.25137, GoToPosition
0.435432, -0.469503, 2.25135, GoAhead
0.426237, -0.458144, 2.25136, GoToPosition
0.420119, -0.450586, 2.25136, GoAhead
0.410917, -0.439214, 2.25136, GoToPosition
0.401712, -0.427852, 2.25136, GoAhead
0.392516, -0.416496, 2.25137, GoToPosition
0.386395, -0.408935, 2.25138, GoAhead
0.377203, -0.397593, 2.25138, GoAhead
0.358799, -0.374854, 2.25139, GoToPosition
0.352673, -0.367284, 2.25138, Turn
0.340437, -0.352179, 2.25139, GoToPosition
0.327749, -0.336493, 2.29005, TurnToAngle
0.310113, -0.313269, 2.32883, Turn
0.291511, -0.290069, 2.36729, GoAhead
0.271925, -0.267637, 2.4062, GoToPosition
0.251742, -0.246223, 2.43225, GoAhead
0.237807, -0.232374, 2.47107, GoToPosition
0.217705, -0.213515, 2.47107, GoAhead
0.205281, -0.203241, 2.48133, GoToPosition
0.193708, -0.194337, 2.48109, TurnToAngle
0.18213, -0.185408, 2.48103, Turn
0.170577, -0.176444, 2.48048, GoToPosition
0.161459, -0.16936, 2.48048, TurnToAngle
0.131635, -0.147548, 2.43945, Turn
0.108667, -0.129957, 2.39866, GoToPosition
0.0937604, -0.117561, 2.37198, GoAhead
0.0652749, -0.0919379, 2.31846, GoToPosition
0.0486317, -0.0756992, 2.28461, GoAhead
0.0388963, -0.0646206, 2.28223, GoToPosition
0.0293967, -0.0535318, 2.28241, GoAhead
0.019911, -0.0424489, 2.28259, GoToPosition
0.0103771, -0.0313635, 2.28257, GoAhead
0.0040069, -0.0239776, 2.28261, GoToPosition
-0.00554388, -0.0129091, 2.28264, GoAhead
-0.0150783, -0.00185299, 2.28264, GoToPosition
-0.0246191, 0.00920996, 2.28265, GoAhead
